60.0,80.0,34.0,7.5,3.2,70.0,2.2,5.1,HIGH RISK
43.0,65.0,23.0,2.3,4.3,85.0,22.0,45.0,HIGH RISK
56.0,35.0,28.0,5.0,2.0,55.0,2.3,5.2,WARNING
45.0,56.0,45.0,45.0,5.2,1.0,2.3,5.5,HIGH RISK
45.0,56.0,45.0,45.0,5.2,1.0,2.3,5.5,HIGH RISK
25.0,15.0,27.0,0.8,0.2,30.0,0.4,0.8,SAFE
35.0,20.0,23.0,2.5,0.6,32.0,0.2,0.5,SAFE
35.0,20.0,23.0,2.5,0.6,32.0,0.2,0.5,SAFE
2.0,5.0,5.0,2.3,2.3,20.0,2.1,1.7,SAFE
2.0,5.0,5.0,2.3,2.3,20.0,2.1,1.7,SAFE
20.0,48.0,15.0,2.3,2.3,5.0,2.0,22.0,WARNING
9.0,20.0,23.0,55.0,45.0,36.0,44.0,44.0,HIGH RISK
11.0,11.0,23.0,12.0,10.8,20.0,12.0,23.0,HIGH RISK
12.0,44.0,23.0,22.0,11.0,55.0,0.5,11.0,HIGH RISK
12.0,44.0,23.0,22.0,11.0,55.0,0.5,11.0,HIGH RISK
12.0,55.0,12.0,45.0,11.0,23.0,36.0,77.0,HIGH RISK
49.0,3.2,42.0,2.3,20.0,55.0,0.3,-15.0,SAFE,06-09-2026 10:29 AM
16.0,72.0,23.0,3.0,-3.0,35.0,-4.0,52.0,HIGH RISK,17-09-2026 11:56 PM
25.0,230.0,55.0,0.5,2.3,48.6,2.6,58.0,HIGH RISK,18-09-2026 12:10 AM
